Stock,Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Operating Income As Reported,Otherunder Preferred Stock Dividend,Net Income From Tax Loss Carryforward,Gain On Sale Of Ppe,Earnings From Equity Interest,Other Operating Expenses,Other Taxes,Total Other Finance Cost,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Salaries And Wages,Gain On Sale Of Business,Provision For Doubtful Accounts,Net Income Discontinuous Operations,Rent Expense Supplemental,Other Special Charges,Restructuring And Mergern Acquisition,Other Non Interest Expense,Average Dilution Earnings,Amortization,Amortization Of Intangibles Income Statement,Rent And Landing Fees,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Depreciation Income Statement,Insurance And Claims,Occupancy And Equipment,Preferred Stock Dividends,Research And Development,Professional Expense And Contract Services Expense,Net Income Extraordinary,Earnings From Equity Interest Net Of Tax
2S,2023-12-31,-1027414.928141,0.037799,248561000.0,-27181000.0,-27181000.0,160083000.0,55027000.0,6351661000.0,221380000.0,166353000.0,3354000.0,264000.0,3618000.0,186236585.071859,160083000.0,6625824000.0,549996000.0,549996000.0,0.29,0.29,160083000.0,160083000.0,160083000.0,272000.0,159811000.0,159811000.0,6278000.0,166089000.0,13214000.0,40395000.0,-15086000.0,,15086000.0,-12095000.0,3354000.0,264000.0,3618000.0,149521000.0,274163000.0,274163000.0,163066000.0,111097000.0,111097000.0,423684000.0,6351661000.0,6775345000.0,6775345000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2022-12-31,-102844.248446,0.005085,-52386000.0,-20225000.0,-20225000.0,-122177000.0,50507000.0,6601387000.0,-72611000.0,-123118000.0,1449000.0,579000.0,2028000.0,-102054844.248446,-122177000.0,6856163000.0,549996000.0,549996000.0,-0.23,-0.23,-122177000.0,-122177000.0,-122177000.0,891000.0,-123068000.0,-123068000.0,-629000.0,-123697000.0,22052000.0,42277000.0,0.0,,0.0,-20225000.0,1449000.0,579000.0,2028000.0,-147198000.0,254776000.0,254776000.0,147414000.0,107362000.0,107362000.0,107578000.0,6601387000.0,6708965000.0,6708965000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2021-12-31,-4380462.499784,0.201837,997117000.0,-21703000.0,-21703000.0,737515000.0,49010000.0,5371701000.0,975414000.0,926404000.0,85000.0,1716000.0,1801000.0,754837537.500216,737515000.0,5607020000.0,549996000.0,549996000.0,1.34,1.34,737515000.0,737515000.0,737515000.0,-537000.0,738052000.0,738052000.0,186636000.0,924688000.0,10810000.0,32513000.0,,,,-21703000.0,85000.0,1716000.0,1801000.0,913793000.0,235319000.0,235319000.0,127474000.0,107845000.0,107845000.0,1149112000.0,5371701000.0,6520813000.0,6520813000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2020-12-31,-3169616.39746,0.15251,560029000.0,-20783000.0,-20783000.0,410165000.0,47275000.0,4865660000.0,539246000.0,491971000.0,-5898000.0,7957000.0,2059000.0,427778383.60254,410165000.0,5113167000.0,549997800.0,549997800.0,0.745455,0.745455,410165000.0,410165000.0,410165000.0,-32000.0,410197000.0,410197000.0,73817000.0,484014000.0,54000.0,20837000.0,,,,-20783000.0,-5898000.0,7957000.0,2059000.0,489858000.0,247507000.0,247507000.0,137563000.0,109944000.0,109944000.0,737365000.0,4865660000.0,5603025000.0,5603025000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2024-03-31,30812781.577281,0.228086,288030444.0,135092842.0,135092842.0,145261597.0,217677403.0,4098751548.0,423123286.0,205445883.0,-15585337.0,16376413.0,791076.0,40981536.577281,145261597.0,4904292653.0,78519782.0,78519782.0,1.85,1.85,145261597.0,145261597.0,145261597.0,-683780.0,145945377.0,145945377.0,43124093.0,189069470.0,177543497.0,42450655.0,59829148.0,,,75263694.0,-15585337.0,16376413.0,791076.0,27111310.0,805541105.0,805541105.0,439266029.0,366275076.0,366275076.0,832652415.0,4098751548.0,4931403963.0,4931403963.0,204654807.0,,,59829148.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2023-03-31,16645183.296288,0.273165,337264013.0,60934646.0,60934646.0,124520868.0,208414799.0,4333720027.0,398198659.0,189783860.0,-16588595.0,16633463.0,44868.0,80231405.296288,124520868.0,5142051349.0,78315011.0,78315011.0,1.59,1.59,124520868.0,124520868.0,124520868.0,-1330984.0,125851852.0,125851852.0,47298545.0,173150397.0,82505413.0,21570767.0,0.0,,,60934646.0,-16588595.0,16633463.0,44868.0,107233579.0,808331322.0,808331322.0,446923108.0,361408214.0,361408214.0,915564901.0,4333720027.0,5249284928.0,5249284928.0,189738992.0,,,0.0,0.0,7308064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2021-12-31,12210878.678426,0.2177,364863336.0,56090495.0,56090495.0,153497275.0,209412567.0,4376077238.0,420953831.0,211541264.0,-10094481.0,10685237.0,590756.0,109617658.678426,153497275.0,5243241365.0,78314936.0,78314936.0,1.96,1.96,153497275.0,153497275.0,153497275.0,-3632474.0,157129749.0,157129749.0,43726278.0,200856027.0,56090495.0,,,,,56090495.0,-10094481.0,10685237.0,590756.0,154860013.0,867164127.0,880461777.0,410744345.0,469717432.0,469717432.0,1022024140.0,4376077238.0,5398101378.0,5398101378.0,210950508.0,,,,,-13297650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2020-12-31,-630074.4,0.2,48006126.0,-3150372.0,-3150372.0,-229001875.0,243336270.0,3770595527.0,44855754.0,-198480516.0,-12918813.0,13215895.0,297082.0,-226481577.4,-229001875.0,4957816193.0,78676104.0,78676104.0,0.54,0.54,42485096.0,42485096.0,-229001875.0,-490849.0,-228511026.0,-228511026.0,16814615.0,-211696411.0,-3150372.0,,,,,-3150372.0,-12918813.0,13215895.0,297082.0,-195627226.0,1187220666.0,1190495169.0,409031837.0,781463332.0,781463332.0,991593440.0,3770595527.0,4762188967.0,4762188967.0,-198777598.0,-271486971.0,271486971.0,,,-3274503.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115452973.0,,,,,,,,,,,,,,,,,,,-110152817.0,110152817.0,,,-113381565.0,298352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
